track_number,composer,title,movement,performer,source,source_page,download_url,license,format,quality,filename,status
1,Beethoven,Moonlight Sonata,I. Adagio sostenuto,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,01 - Beethoven - Moonlight Sonata - I. Adagio sostenuto.flac,no_direct_url
2,Beethoven,Moonlight Sonata,III. Presto agitato,,Internet Archive,https://archive.org/details/ludwig-van-beethoven-moonlight-sonata-3-mvt-presto-agitato,https://archive.org/download/ludwig-van-beethoven-moonlight-sonata-3-mvt-presto-agitato/Ludwig%20van%20Beethoven%20-%20Moonlight%20Sonata%20%283%20mvt%29%20Presto%20Agitato.mp3,"https://creativecommons.org/publicdomain/mark/1.0/ | One of my favorites from Beethoven<div>Performed 1802 and published 1802-1803</div><div>I made this since all the covers of Moonlight Sonata (3 Mvt) were human-made or had EQ to it, so here's a raw, untouched, and public domain version. This was made by Ludwig van Beethoven himself</div>",MP3,MP3 (9321863 bytes),02 - Beethoven - Moonlight Sonata - III. Presto agitato.mp3,mp3_only
3,Puccini,Nessun Dorma,,,Internet Archive,https://archive.org/details/georges-thill-giacomo-puccini-turandot-nessun-dorma-columbia-d-41012-enregistrement-le-6-mars-1929,https://archive.org/download/georges-thill-giacomo-puccini-turandot-nessun-dorma-columbia-d-41012-enregistrement-le-6-mars-1929/Georges%20Thill%20-%20Giacomo%20Puccini%20-%20Turandot%20-%20Nessun%20dorma%20-%20Columbia%20D%2041012%20%20enregistr%C3%A9%20le%206%20mars%201929.mp3,"http://creativecommons.org/publicdomain/mark/1.0/ | <div style=""border:none;border-bottom:solid 1pt;padding:0cm 0cm 0cm 0cm;""> <p>Georges Thill est un ténor français, né le 14 décembre 1897 à Paris et mort le 15 octobre 1984 à Draguignan dans le Var.</p> </div>",MP3,MP3 (4658613 bytes),03 - Puccini - Nessun Dorma.mp3,mp3_only
4,Vivaldi,The Four Seasons,Winter - I. Allegro non molto,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,04 - Vivaldi - The Four Seasons - Winter - I. Allegro non molto.flac,no_direct_url
5,Vivaldi,The Four Seasons,Summer - III. Presto,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,05 - Vivaldi - The Four Seasons - Summer - III. Presto.flac,no_direct_url
6,Vivaldi,The Four Seasons,Spring - I. Allegro,,Internet Archive,https://archive.org/details/parso-19df9720a290ff3dd7678eebf0ac9a400a8406e9,https://archive.org/download/parso-19df9720a290ff3dd7678eebf0ac9a400a8406e9/001_I_Allegro.mp3,"http://creativecommons.org/publicdomain/zero/1.0/deed.en | Antonio Vivaldi — The Four Seasons: Spring, Op. 8, RV 269 Performers: Free Tim Attribution: Vivaldo's Spring from the Four Seasons-Allegro by Free Tim License: http://creativecommons.org/publicdomain/zero/1.0/deed.en Movements (1): 1. I. Allegro (3:04) Format: Opus audio in Core Audio Format (CAF) and Ogg Opus (for non-Apple players)",MP3,MP3 (8546237 bytes),06 - Vivaldi - The Four Seasons - Spring - I. Allegro.mp3,mp3_only
7,Beethoven,Symphony No. 7,II. Allegretto,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,07 - Beethoven - Symphony No. 7 - II. Allegretto.flac,no_direct_url
8,Beethoven,Symphony No. 5,I. Allegro con brio,,Internet Archive,https://archive.org/details/LvB_5_1,https://archive.org/download/LvB_5_1/lvb-sym-5-1.flac,"http://creativecommons.org/licenses/by-nc-nd/3.0/hk/ | Ludwig van Beethoven (1770–1827): Symphony No 5 in C-minor, Op 67 (1804–08) The First movement: Allegro con brio Format: WAV 16-bit 48kHz (Mono) Duration: 8'05"" . . . . . . . . . .",FLAC,FLAC (26736030 bytes),08 - Beethoven - Symphony No. 5 - I. Allegro con brio.flac,ready
9,Mozart,Requiem,Lacrimosa,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,09 - Mozart - Requiem - Lacrimosa.mp3,no_direct_url
10,Mozart,Requiem,Dies Irae,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,10 - Mozart - Requiem - Dies Irae.mp3,no_direct_url
11,Mozart,Piano Concerto No. 20,II. Romance,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,11 - Mozart - Piano Concerto No. 20 - II. Romance.flac,no_direct_url
12,Mozart,Symphony No. 40,I. Molto Allegro,,Internet Archive,https://archive.org/details/MozartSymphonyNo.40,https://archive.org/download/MozartSymphonyNo.40/01.I.AllegroModerato.mp3,"http://creativecommons.org/licenses/by-nc-sa/3.0/ | MOZART: Symphony No. 40 in G minor, K. 550 London Philharmonic Orchestra Sir Thomas Beecham, conductor Columbia 78rpm Set M-316 (CAX 7926 - 7931) Recorded in 1937 Digital transfer by F. Reeder [Improved transfer & higher bit rate - 9/13]",MP3,MP3 (10931579 bytes),12 - Mozart - Symphony No. 40 - I. Molto Allegro.mp3,mp3_only
13,Chopin,Nocturne Op. 9 No. 2,,,Internet Archive,https://archive.org/details/Chopin-NocturneOp.9No.2,https://archive.org/download/Chopin-NocturneOp.9No.2/20120420_Chopin_Nocturne_op9-2_amplified.WAV,http://creativecommons.org/licenses/by-nc-nd/3.0/ | This is me playing Chopin's Nocturne op.9-2 on Yamaha Clavinova CLP-440.,WAV,WAV (44012444 bytes),13 - Chopin - Nocturne Op. 9 No. 2.wav,mp3_only
14,Chopin,Nocturne in C-sharp minor,posthumous,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,14 - Chopin - Nocturne in C-sharp minor - posthumous.flac,no_direct_url
15,Chopin,Ballade No. 1 in G minor,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,15 - Chopin - Ballade No. 1 in G minor.flac,no_direct_url
16,Chopin,Prelude Op. 28,No. 4,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,16 - Chopin - Prelude Op. 28 - No. 4.flac,no_direct_url
17,Rachmaninoff,Piano Concerto No. 2,II. Adagio sostenuto,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,17 - Rachmaninoff - Piano Concerto No. 2 - II. Adagio sostenuto.flac,no_direct_url
18,Rachmaninoff,Prelude in C-sharp minor,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,18 - Rachmaninoff - Prelude in C-sharp minor.flac,no_direct_url
19,Tchaikovsky,Swan Lake,Scene,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,19 - Tchaikovsky - Swan Lake - Scene.flac,no_direct_url
20,Tchaikovsky,Swan Lake,Dance of the Little Swans,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,20 - Tchaikovsky - Swan Lake - Dance of the Little Swans.flac,no_direct_url
21,Tchaikovsky,Piano Concerto No. 1,I. Allegro non troppo,,Internet Archive,https://archive.org/details/TCHAIKOVSKYPianoConcertoNo.1-Horowitz-NEWTRANSFER,https://archive.org/download/TCHAIKOVSKYPianoConcertoNo.1-Horowitz-NEWTRANSFER/01.I.AllegroNonTroppoEMoltoMaestosoAllegroConSpirito.mp3,"http://creativecommons.org/licenses/by-nc-sa/3.0/ | TCHAIKOVSKY: Concerto No. 1 in B Minor for Piano and Orchestra, Op. 23<br /><br />Vladimir Horowitz, piano<br />New York Philharmonic Orchestra<br />George Szell, conductor<br /><br />I. Allegro non troppo e molto maestoso; Allegro con spirito<br />II. Andantino semplice; Prestissimo<br />III. Allegro con fuoco<br /><br />Recorded in performance in New York, May 4, 1952<br />Digital transfer by F. Reeder<br />(High bit rate)<br />",MP3,MP3 (23713398 bytes),21 - Tchaikovsky - Piano Concerto No. 1 - I. Allegro non troppo.mp3,mp3_only
22,Tchaikovsky,1812 Overture,Finale,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,22 - Tchaikovsky - 1812 Overture - Finale.flac,no_direct_url
23,Saint-Saëns,Danse Macabre,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,23 - Saint-Saens - Danse Macabre.flac,no_direct_url
24,Saint-Saëns,The Swan,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,24 - Saint-Saens - The Swan.flac,no_direct_url
25,Dvořák,Symphony No. 9,IV. Allegro con fuoco,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,25 - Dvorak - Symphony No. 9 - IV. Allegro con fuoco.flac,no_direct_url
26,Dvořák,Symphony No. 9,II. Largo,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,26 - Dvorak - Symphony No. 9 - II. Largo.flac,no_direct_url
27,Bach,Toccata and Fugue in D minor,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,27 - Bach - Toccata and Fugue in D minor.flac,no_direct_url
28,Bach,Air on the G String,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,28 - Bach - Air on the G String.flac,no_direct_url
29,Bach,Cello Suite No. 1,Prelude,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,29 - Bach - Cello Suite No. 1 - Prelude.flac,no_direct_url
30,Albinoni,Adagio in G minor,,,Musopen,https://musopen.org/music/,,Composition/attribution and recording require specific review,FLAC,,30 - Albinoni - Adagio in G minor.flac,copyright_review
31,Barber,Adagio for Strings,,,Musopen,https://musopen.org/music/,,Samuel Barber (d. 1981): composition/recording copyright review required,FLAC,,31 - Barber - Adagio for Strings.flac,copyright_review
32,Pachelbel,Canon in D,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,32 - Pachelbel - Canon in D.flac,no_direct_url
33,Debussy,Clair de Lune,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,33 - Debussy - Clair de Lune.flac,no_direct_url
34,Satie,Gymnopédie No. 1,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,34 - Satie - Gymnopedie No. 1.flac,no_direct_url
